tweet,sentiment_label
b'RT @adammanross: Who do you think Bernie Sanders nominate for VP? \n\n#bernie2020 #FeelTheBern #Bernieiniowa #Bernie2024 #BernieInPA #Medicar\xe2\x80\xa6',Neutral
b'RT @adammanross: Who do you think Bernie Sanders nominate for VP? \n\n#bernie2020 #FeelTheBern #Bernieiniowa #Bernie2024 #BernieInPA #Medicar\xe2\x80\xa6',Neutral
b'RT @MJStockNews: #BernieSanders\xe2\x80\x99 2020 Presidential Bid Will Make #Marijuana #Legalization a Top Priority\n\n#2020Election #Cannabis\n\nhttps://\xe2\x80\xa6',Positive
b'#Read #BernieSanders\xe2\x80\x99s 2019 #MedicareForAll #plan https://t.co/5oN9n6AwaF via @voxdotcom #News #HealthCare #Medicare #sanders #2020Election',Neutral
b'#BernieSanders\xe2\x80\x99s #MedicareForAll #plan, #explained https://t.co/1ck4gvd4Uv via @voxdotcom #News #HealthCare #Health\xe2\x80\xa6 https://t.co/uKtoiHBU5y',Neutral
b'RT @GeneBrownUSA: #Socialist Bernie Sanders is a complete fraud!#BernieSanders #Socialism #SocialismKills #LiberalismIsAMentalDisorder #USA\xe2\x80\xa6',Positive
b'RT @GeneBrownUSA: #Socialist Bernie Sanders is a complete fraud!#BernieSanders #Socialism #SocialismKills #LiberalismIsAMentalDisorder #USA\xe2\x80\xa6',Positive
b'RT @GeneBrownUSA: #Socialist Bernie Sanders is a complete fraud!#BernieSanders #Socialism #SocialismKills #LiberalismIsAMentalDisorder #USA\xe2\x80\xa6',Positive
b"Update #2020Election\nEric Swalwell\nTim Ryan\nMike Gravel\nBeto O'Rourke\nJay Inslee\nJohn Hickenlooper\nBernie Sanders\nA\xe2\x80\xa6 https://t.co/zsgWsnaYWJ",Neutral
b'2020 California Democratic Primary:\n\nJoe Biden: 26%\nBernie Sanders: 18%\nKamala Harris: 17%\nElizabeth Warren: 7% \nPe\xe2\x80\xa6 https://t.co/mCKhMJ46gc',Positive
b'RT @adammanross: Who do you think Bernie Sanders nominate for VP? \n\n#bernie2020 #FeelTheBern #Bernieiniowa #Bernie2024 #BernieInPA #Medicar\xe2\x80\xa6',Neutral
b'RT @adammanross: Who do you think Bernie Sanders nominate for VP? \n\n#bernie2020 #FeelTheBern #Bernieiniowa #Bernie2024 #BernieInPA #Medicar\xe2\x80\xa6',Neutral
b'RT @adammanross: Who do you think Bernie Sanders nominate for VP? \n\n#bernie2020 #FeelTheBern #Bernieiniowa #Bernie2024 #BernieInPA #Medicar\xe2\x80\xa6',Neutral
b'RT @adammanross: Who do you think Bernie Sanders nominate for VP? \n\n#bernie2020 #FeelTheBern #Bernieiniowa #Bernie2024 #BernieInPA #Medicar\xe2\x80\xa6',Neutral
b'RT @adammanross: Who do you think Bernie Sanders nominate for VP? \n\n#bernie2020 #FeelTheBern #Bernieiniowa #Bernie2024 #BernieInPA #Medicar\xe2\x80\xa6',Neutral
b'RT @adammanross: Who do you think Bernie Sanders nominate for VP? \n\n#bernie2020 #FeelTheBern #Bernieiniowa #Bernie2024 #BernieInPA #Medicar\xe2\x80\xa6',Neutral
b'RT @adammanross: Who do you think Bernie Sanders nominate for VP? \n\n#bernie2020 #FeelTheBern #Bernieiniowa #Bernie2024 #BernieInPA #Medicar\xe2\x80\xa6',Neutral
b'RT @adammanross: Who do you think Bernie Sanders nominate for VP? \n\n#bernie2020 #FeelTheBern #Bernieiniowa #Bernie2024 #BernieInPA #Medicar\xe2\x80\xa6',Neutral
b'RT @adammanross: Who do you think Bernie Sanders nominate for VP? \n\n#bernie2020 #FeelTheBern #Bernieiniowa #Bernie2024 #BernieInPA #Medicar\xe2\x80\xa6',Neutral
b'RT @adammanross: Who do you think Bernie Sanders nominate for VP? \n\n#bernie2020 #FeelTheBern #Bernieiniowa #Bernie2024 #BernieInPA #Medicar\xe2\x80\xa6',Neutral
b'RT @adammanross: Who do you think Bernie Sanders nominate for VP? \n\n#bernie2020 #FeelTheBern #Bernieiniowa #Bernie2024 #BernieInPA #Medicar\xe2\x80\xa6',Neutral
b'RT @adammanross: Who do you think Bernie Sanders nominate for VP? \n\n#bernie2020 #FeelTheBern #Bernieiniowa #Bernie2024 #BernieInPA #Medicar\xe2\x80\xa6',Neutral
b'RT @adammanross: Who do you think Bernie Sanders nominate for VP? \n\n#bernie2020 #FeelTheBern #Bernieiniowa #Bernie2024 #BernieInPA #Medicar\xe2\x80\xa6',Neutral
b'RT @adammanross: Who do you think Bernie Sanders nominate for VP? \n\n#bernie2020 #FeelTheBern #Bernieiniowa #Bernie2024 #BernieInPA #Medicar\xe2\x80\xa6',Neutral
b'Who do you think Bernie Sanders nominate for VP? \n\n#bernie2020 #FeelTheBern #Bernieiniowa #Bernie2024 #BernieInPA\xe2\x80\xa6 https://t.co/o1rdUzYObz',Neutral
