tweet,sentiment_label
b"Update #2020Election\nEric Swalwell\nTim Ryan\nMike Gravel\nBeto O'Rourke\nJay Inslee\nJohn Hickenlooper\nBernie Sanders\nA\xe2\x80\xa6 https://t.co/zsgWsnaYWJ",Neutral
b'2020 California Democratic Primary:\n\nJoe Biden: 26%\nBernie Sanders: 18%\nKamala Harris: 17%\nElizabeth Warren: 7% \nPe\xe2\x80\xa6 https://t.co/mCKhMJ46gc',Positive
b"Why two former #Beto O'Rourke staffers - Autumn @watercolorskye and Bryant @TheYoungBerner - now say they're with\xe2\x80\xa6 https://t.co/nV5FdZCDL3",Neutral
b'RT @BrainstormingN: #Politics Generational Candidates #2020Election\nGenX-\nKirsten Gillibrand 53\nCory Booker 50\nBeto O\xe2\x80\x99Rourke 47\nTim Ryan 46\xe2\x80\xa6',Neutral
b'#Politics Generational Candidates #2020Election\nGenX-\nKirsten Gillibrand 53\nCory Booker 50\nBeto O\xe2\x80\x99Rourke 47\nTim Rya\xe2\x80\xa6 https://t.co/edOalCfj3x',Neutral
b'2020 Democratic Primary Voting Intention:\n\nJoe Biden: 32% (-1)\nBernie Sanders: 23% (-2)\nKamala Harris: 9% (+1)\nBeto\xe2\x80\xa6 https://t.co/p5TfzZn8LH',Positive
b'RT @PolStatsUS: South Carolina Democratic Primary (w/o Biden):\n\nBernie Sanders: 24%\nBeto O\xe2\x80\x99Rourke: 16%\nKamala Harris: 15%\nCory Booker: 12%\xe2\x80\xa6',Positive
b'2020 Democratic Primary:\n\nJoe Biden: 36% (+5)\nBernie Sanders: 19% (+3)\nKamala Harris: 9% (+3)\nBeto O\xe2\x80\x99Rourke: 7% (+1\xe2\x80\xa6 https://t.co/WWWhdBIg54',Positive
b'South Carolina Democratic Primary (w/Biden and Abrams)\n\nJoe Biden: 32% (-5)\nBernie Sanders: 14% (-7)\nKamala Harris:\xe2\x80\xa6 https://t.co/Hr38m0cnTM',Positive
b'South Carolina Democratic Primary (w/o Biden):\n\nBernie Sanders: 24%\nBeto O\xe2\x80\x99Rourke: 16%\nKamala Harris: 15%\nCory Book\xe2\x80\xa6 https://t.co/LFUmGQrnaE',Positive
b'RT @PolStatsUS: Massachusetts Democratic Primary:\n\nBernie Sanders: 26%\nJoe Biden: 23%\nElizabeth Warren: 14%\nPete Buttigieg: 11%\nBeto O\xe2\x80\x99Rour\xe2\x80\xa6',Positive
b'RT @PolStatsUS: Massachusetts Democratic Primary:\n\nBernie Sanders: 26%\nJoe Biden: 23%\nElizabeth Warren: 14%\nPete Buttigieg: 11%\nBeto O\xe2\x80\x99Rour\xe2\x80\xa6',Positive
