tweet,sentiment_label
b'RT @Blexit2020: WATCH: Democrat Kirsten Gillibrand  says the NRA opposes background checks because it wants to sell guns to people \xe2\x80\x9con the\xe2\x80\xa6',Positive
b'RT @Blexit2020: WATCH: Democrat Kirsten Gillibrand  says the NRA opposes background checks because it wants to sell guns to people \xe2\x80\x9con the\xe2\x80\xa6',Positive
b'RT @Blexit2020: WATCH: Democrat Kirsten Gillibrand  says the NRA opposes background checks because it wants to sell guns to people \xe2\x80\x9con the\xe2\x80\xa6',Positive
b'RT @Blexit2020: WATCH: Democrat Kirsten Gillibrand  says the NRA opposes background checks because it wants to sell guns to people \xe2\x80\x9con the\xe2\x80\xa6',Positive
b'RT @Blexit2020: WATCH: Democrat Kirsten Gillibrand  says the NRA opposes background checks because it wants to sell guns to people \xe2\x80\x9con the\xe2\x80\xa6',Positive
b'RT @Blexit2020: WATCH: Democrat Kirsten Gillibrand  says the NRA opposes background checks because it wants to sell guns to people \xe2\x80\x9con the\xe2\x80\xa6',Positive
b'RT @Blexit2020: WATCH: Democrat Kirsten Gillibrand  says the NRA opposes background checks because it wants to sell guns to people \xe2\x80\x9con the\xe2\x80\xa6',Positive
b'RT @Blexit2020: WATCH: Democrat Kirsten Gillibrand  says the NRA opposes background checks because it wants to sell guns to people \xe2\x80\x9con the\xe2\x80\xa6',Positive
b'RT @Blexit2020: WATCH: Democrat Kirsten Gillibrand  says the NRA opposes background checks because it wants to sell guns to people \xe2\x80\x9con the\xe2\x80\xa6',Positive
b"Update #2020Election\nEric Swalwell\nTim Ryan\nMike Gravel\nBeto O'Rourke\nJay Inslee\nJohn Hickenlooper\nBernie Sanders\nA\xe2\x80\xa6 https://t.co/zsgWsnaYWJ",Neutral
b'RT @Blexit2020: WATCH: Democrat Kirsten Gillibrand  says the NRA opposes background checks because it wants to sell guns to people \xe2\x80\x9con the\xe2\x80\xa6',Positive
b'RT @Blexit2020: WATCH: Democrat Kirsten Gillibrand  says the NRA opposes background checks because it wants to sell guns to people \xe2\x80\x9con the\xe2\x80\xa6',Positive
b'RT @Blexit2020: WATCH: Democrat Kirsten Gillibrand  says the NRA opposes background checks because it wants to sell guns to people \xe2\x80\x9con the\xe2\x80\xa6',Positive
b'RT @Blexit2020: WATCH: Democrat Kirsten Gillibrand  says the NRA opposes background checks because it wants to sell guns to people \xe2\x80\x9con the\xe2\x80\xa6',Positive
b'RT @Blexit2020: WATCH: Democrat Kirsten Gillibrand  says the NRA opposes background checks because it wants to sell guns to people \xe2\x80\x9con the\xe2\x80\xa6',Positive
b'RT @Blexit2020: WATCH: Democrat Kirsten Gillibrand  says the NRA opposes background checks because it wants to sell guns to people \xe2\x80\x9con the\xe2\x80\xa6',Positive
b'RT @Blexit2020: WATCH: Democrat Kirsten Gillibrand  says the NRA opposes background checks because it wants to sell guns to people \xe2\x80\x9con the\xe2\x80\xa6',Positive
b'RT @Blexit2020: WATCH: Democrat Kirsten Gillibrand  says the NRA opposes background checks because it wants to sell guns to people \xe2\x80\x9con the\xe2\x80\xa6',Positive
b'RT @Blexit2020: WATCH: Democrat Kirsten Gillibrand  says the NRA opposes background checks because it wants to sell guns to people \xe2\x80\x9con the\xe2\x80\xa6',Positive
b'RT @Blexit2020: WATCH: Democrat Kirsten Gillibrand  says the NRA opposes background checks because it wants to sell guns to people \xe2\x80\x9con the\xe2\x80\xa6',Positive
b'RT @Blexit2020: WATCH: Democrat Kirsten Gillibrand  says the NRA opposes background checks because it wants to sell guns to people \xe2\x80\x9con the\xe2\x80\xa6',Positive
b'RT @Blexit2020: WATCH: Democrat Kirsten Gillibrand  says the NRA opposes background checks because it wants to sell guns to people \xe2\x80\x9con the\xe2\x80\xa6',Positive
b'RT @Blexit2020: WATCH: Democrat Kirsten Gillibrand  says the NRA opposes background checks because it wants to sell guns to people \xe2\x80\x9con the\xe2\x80\xa6',Positive
b'RT @Blexit2020: WATCH: Democrat Kirsten Gillibrand  says the NRA opposes background checks because it wants to sell guns to people \xe2\x80\x9con the\xe2\x80\xa6',Positive
b'RT @Blexit2020: WATCH: Democrat Kirsten Gillibrand  says the NRA opposes background checks because it wants to sell guns to people \xe2\x80\x9con the\xe2\x80\xa6',Positive
b'RT @Blexit2020: WATCH: Democrat Kirsten Gillibrand  says the NRA opposes background checks because it wants to sell guns to people \xe2\x80\x9con the\xe2\x80\xa6',Positive
b'RT @Blexit2020: WATCH: Democrat Kirsten Gillibrand  says the NRA opposes background checks because it wants to sell guns to people \xe2\x80\x9con the\xe2\x80\xa6',Positive
b'RT @Blexit2020: WATCH: Democrat Kirsten Gillibrand  says the NRA opposes background checks because it wants to sell guns to people \xe2\x80\x9con the\xe2\x80\xa6',Positive
b'RT @Blexit2020: WATCH: Democrat Kirsten Gillibrand  says the NRA opposes background checks because it wants to sell guns to people \xe2\x80\x9con the\xe2\x80\xa6',Positive
b'RT @Blexit2020: WATCH: Democrat Kirsten Gillibrand  says the NRA opposes background checks because it wants to sell guns to people \xe2\x80\x9con the\xe2\x80\xa6',Positive
b'WATCH: Democrat Kirsten Gillibrand  says the NRA opposes background checks because it wants to sell guns to people\xe2\x80\xa6 https://t.co/6endefz47S',Positive
b'I\xe2\x80\x99m not sure Kirsten Gillibrand is quite ready yet. She might eventually be, but not at this time. #2020PresidentialElection #2020Election',Negative
b'RT @BrainstormingN: #Politics Generational Candidates #2020Election\nGenX-\nKirsten Gillibrand 53\nCory Booker 50\nBeto O\xe2\x80\x99Rourke 47\nTim Ryan 46\xe2\x80\xa6',Neutral
b'#Politics Generational Candidates #2020Election\nGenX-\nKirsten Gillibrand 53\nCory Booker 50\nBeto O\xe2\x80\x99Rourke 47\nTim Rya\xe2\x80\xa6 https://t.co/edOalCfj3x',Neutral
b'Kirsten Gillibrand 2020 \xe2\x80\x93 On Higher Education And 6 Other Key Issues\n#election2020 #2020Election #gillibrand2020\xe2\x80\xa6 https://t.co/wkeNW8pW4A',Positive
b"@factsimile1 @krassenstein @Nancabell Ranking #Democrats #2020Election\nMy opinion \nKamala Harris\nJoe Biden\nBeto O'R\xe2\x80\xa6 https://t.co/VEtmiZtn6B",Neutral
b'\xe2\x80\x9dPaid leave, equal pay, and affordable daycare are not just \xe2\x80\x98women\xe2\x80\x99s issues.\xe2\x80\x99 These are economic issues \xe2\x80\x94 ones that\xe2\x80\xa6 https://t.co/Z8P23vtyM8',Positive
