tweet,sentiment_label
b'RT @a35362: Senator Amy Klobuchar of Minnesota touts "heartland economics" in her campaign for president, writes Edward-Isaac Dovere:\nhttps\xe2\x80\xa6',Neutral
b'Senator Amy Klobuchar of Minnesota touts "heartland economics" in her campaign for president, writes Edward-Isaac D\xe2\x80\xa6 https://t.co/v8QmcW2foR',Neutral
b"Update #2020Election\nEric Swalwell\nTim Ryan\nMike Gravel\nBeto O'Rourke\nJay Inslee\nJohn Hickenlooper\nBernie Sanders\nA\xe2\x80\xa6 https://t.co/zsgWsnaYWJ",Neutral
b'2020 California Democratic Primary:\n\nJoe Biden: 26%\nBernie Sanders: 18%\nKamala Harris: 17%\nElizabeth Warren: 7% \nPe\xe2\x80\xa6 https://t.co/mCKhMJ46gc',Positive
b'Senator Amy Klobuchar of Minnesota touts "heartland economics" in her campaign for president, writes Edward-Isaac D\xe2\x80\xa6 https://t.co/9UU7vYnavn',Neutral
b'Ok , both Bernie Sanders and Amy Klobuchar are on my flight to DC and I have more status than Sanders. This is almo\xe2\x80\xa6 https://t.co/o1n0ybIUhN',Positive
b'RT @PolStatsUS: Massachusetts Democratic Primary:\n\nBernie Sanders: 26%\nJoe Biden: 23%\nElizabeth Warren: 14%\nPete Buttigieg: 11%\nBeto O\xe2\x80\x99Rour\xe2\x80\xa6',Positive
b'Senator Amy Klobuchar of Minnesota touts "heartland economics" in her campaign for president, writes Edward-Isaac D\xe2\x80\xa6 https://t.co/KBPq5nMlBS',Neutral
b'RT @PolStatsUS: Massachusetts Democratic Primary:\n\nBernie Sanders: 26%\nJoe Biden: 23%\nElizabeth Warren: 14%\nPete Buttigieg: 11%\nBeto O\xe2\x80\x99Rour\xe2\x80\xa6',Positive
b'#2020Election Interview between Amy Klobuchar @amyklobuchar &amp; #CNN Van Jones of the @VanJones68 #vanjonesshow  \xe2\x80\xa6.\xe2\x80\xa6 https://t.co/NIa0xhXfzM',Neutral
b'RT @PolStatsUS: Massachusetts Democratic Primary:\n\nBernie Sanders: 26%\nJoe Biden: 23%\nElizabeth Warren: 14%\nPete Buttigieg: 11%\nBeto O\xe2\x80\x99Rour\xe2\x80\xa6',Positive
b'RT @PolStatsUS: Massachusetts Democratic Primary:\n\nBernie Sanders: 26%\nJoe Biden: 23%\nElizabeth Warren: 14%\nPete Buttigieg: 11%\nBeto O\xe2\x80\x99Rour\xe2\x80\xa6',Positive
b'RT @PolStatsUS: Massachusetts Democratic Primary:\n\nBernie Sanders: 26%\nJoe Biden: 23%\nElizabeth Warren: 14%\nPete Buttigieg: 11%\nBeto O\xe2\x80\x99Rour\xe2\x80\xa6',Positive
b'RT @PolStatsUS: Massachusetts Democratic Primary:\n\nBernie Sanders: 26%\nJoe Biden: 23%\nElizabeth Warren: 14%\nPete Buttigieg: 11%\nBeto O\xe2\x80\x99Rour\xe2\x80\xa6',Positive
b'RT @PolStatsUS: Massachusetts Democratic Primary:\n\nBernie Sanders: 26%\nJoe Biden: 23%\nElizabeth Warren: 14%\nPete Buttigieg: 11%\nBeto O\xe2\x80\x99Rour\xe2\x80\xa6',Positive
b'RT @PolStatsUS: Massachusetts Democratic Primary:\n\nBernie Sanders: 26%\nJoe Biden: 23%\nElizabeth Warren: 14%\nPete Buttigieg: 11%\nBeto O\xe2\x80\x99Rour\xe2\x80\xa6',Positive
b'RT @ZeldaFan180: My 2020 Dream Tickets:\n1) Pete Buttigieg/Kamala Harris \n2) Kamala Harris/Pete Buttigieg \n3) Pete Buttigieg/Amy Klobuchar\xe2\x80\xa6',Neutral
b'RT @PolStatsUS: Massachusetts Democratic Primary:\n\nBernie Sanders: 26%\nJoe Biden: 23%\nElizabeth Warren: 14%\nPete Buttigieg: 11%\nBeto O\xe2\x80\x99Rour\xe2\x80\xa6',Positive
b'RT @PolStatsUS: Massachusetts Democratic Primary:\n\nBernie Sanders: 26%\nJoe Biden: 23%\nElizabeth Warren: 14%\nPete Buttigieg: 11%\nBeto O\xe2\x80\x99Rour\xe2\x80\xa6',Positive
b'RT @PolStatsUS: Massachusetts Democratic Primary:\n\nBernie Sanders: 26%\nJoe Biden: 23%\nElizabeth Warren: 14%\nPete Buttigieg: 11%\nBeto O\xe2\x80\x99Rour\xe2\x80\xa6',Positive
b'RT @PolStatsUS: Massachusetts Democratic Primary:\n\nBernie Sanders: 26%\nJoe Biden: 23%\nElizabeth Warren: 14%\nPete Buttigieg: 11%\nBeto O\xe2\x80\x99Rour\xe2\x80\xa6',Positive
b'Massachusetts Democratic Primary:\n\nBernie Sanders: 26%\nJoe Biden: 23%\nElizabeth Warren: 14%\nPete Buttigieg: 11%\nBet\xe2\x80\xa6 https://t.co/Ral4su42ru',Positive
b'Amy Klobuchar @amyklobuchar Video shows how to talk about "  #Healthcare " #Obamacare #ProtectOurCare #SaveACA\xe2\x80\xa6 https://t.co/SiwWqAlOqP',Neutral
b'RT @ZeldaFan180: My 2020 Dream Tickets:\n1) Pete Buttigieg/Kamala Harris \n2) Kamala Harris/Pete Buttigieg \n3) Pete Buttigieg/Amy Klobuchar\xe2\x80\xa6',Neutral
b'RT @ZeldaFan180: My 2020 Dream Tickets:\n1) Pete Buttigieg/Kamala Harris \n2) Kamala Harris/Pete Buttigieg \n3) Pete Buttigieg/Amy Klobuchar\xe2\x80\xa6',Neutral
b'Senator Amy Klobuchar of Minnesota touts "heartland economics" in her campaign for president, writes Edward-Isaac D\xe2\x80\xa6 https://t.co/4P8TMRAU8p',Neutral
b'My 2020 Dream Tickets:\n1) Pete Buttigieg/Kamala Harris \n2) Kamala Harris/Pete Buttigieg \n3) Pete Buttigieg/Amy Klob\xe2\x80\xa6 https://t.co/X28fWtHJmn',Neutral
b'RT @a35362: Senator Amy Klobuchar of Minnesota touts "heartland economics" in her campaign for president, writes Edward-Isaac Dovere:\nhttps\xe2\x80\xa6',Neutral
b'Senator Amy Klobuchar of Minnesota touts "heartland economics" in her campaign for president, writes Edward-Isaac D\xe2\x80\xa6 https://t.co/KudpvBOud5',Neutral
b"@factsimile1 @krassenstein @Nancabell Ranking #Democrats #2020Election\nMy opinion \nKamala Harris\nJoe Biden\nBeto O'R\xe2\x80\xa6 https://t.co/VEtmiZtn6B",Neutral
b'My latest straw poll ...\n\nElizabeth Warren\nKamala Harris\n:\nBernie Sanders\nEric Swalwell\nAmy Klobuchar\nSherrod Brown\xe2\x80\xa6 https://t.co/QeChhcyXXd',Positive
b'Senator Amy Klobuchar of Minnesota touts "heartland economics" in her campaign for president, writes Edward-Isaac D\xe2\x80\xa6 https://t.co/NGD2M0NCfV',Neutral
b'RT @a35362: Senator Amy Klobuchar of Minnesota touts "heartland economics" in her campaign for president, writes Edward-Isaac Dovere:\nhttps\xe2\x80\xa6',Neutral
b'Senator Amy Klobuchar of Minnesota touts "heartland economics" in her campaign for president, writes Edward-Isaac D\xe2\x80\xa6 https://t.co/sUX0RqtYbW',Neutral
b'Amy Klobuchar 2020 \xe2\x80\x93 On Higher Education And 6 Other Key Issues\n#2020election #presidentialelection2020 #klobuchar\xe2\x80\xa6 https://t.co/ejEDlaLFQe',Positive
b'Democratic Primary Poll\n@MorningConsult\n3/25 - 3/31\n\nJoe Biden 33\nBernie Sanders 25\nBeto O\xe2\x80\x99Rourke 8\nKamala Harris 8\xe2\x80\xa6 https://t.co/McIOxvxoop',Positive
b'I think Amy Klobuchar would make a great President. #2020Election https://t.co/BERkxyTeaL',Positive
b'Nevada Democratic Caucus\n@EmersonPolling\n3/28 - 3/30\n\nJoe Biden 26\nBernie Sanders 23\nBeto O\xe2\x80\x99Rourke 10\nElizabeth War\xe2\x80\xa6 https://t.co/RrmyZKpj0O',Neutral
